,Unnamed: 0,incident_id,title,short_desc,date,location,tags,lat,lng
9375,9375,incident_2786, inappropriate behaviour ," It happened on the road approaching towards Metro walk in the afternoon.  
						  More Information »
« Less Information
",2014-04-05 23:23:00,"Rohini Sector 11, Pocket 4, Sector 11C, Rohini, New Delhi, Delhi 110085",Commenting,28.733758,77.115793
9376,9376,incident_2785, inappropriate behaviour in metro ," They were in the same metro and they passed cheap comments,followed and tried to take pictures.It happened at rajiv chowk metro station in the...  
						  More Information »
« Less Information
",2014-04-05 23:21:00,"New Delhi, Delhi, India",Taking pictures,28.6139391,77.2090212
9377,9377,incident_2784, rape/sexual assault ," In the evening  
						  More Information »
« Less Information
",2014-04-05 23:20:00,"Geeta Colony, New Delhi, Delhi, India",Rape / Sexual Assault,28.6539087,77.2712102
9378,9378,incident_2783, commenting ," Group of boys were passing abusive comments.It happened in the afternoon at saket metro station  
						  More Information »
« Less Information
",2014-04-05 23:18:00,"New Delhi, Delhi, India",Commenting,28.6139391,77.2090212
9379,9379,incident_2782, touching ," Girl was with her boyfriend and was continuously crying and the guy was hurting her hand badly.It happened in the evening  
						  More Information »
« Less Information
",2014-04-05 23:13:00,"Khalsa College Dev Nagar, Desh Bandhu Gupta Road, Block 51, P&T Quarters, Karol Bagh, New Delhi, Delhi 110005, India",Touching /Groping,28.657802,77.1840145
9380,9380,incident_2781, harassment ," Harassment takes place everywhere because Delhi is not safe.It happens in the evening.  
						  More Information »
« Less Information
",2014-04-05 23:10:00,"New Delhi, Delhi, India",Ogling/Facial Expressions/Staring,28.6139391,77.2090212
9381,9381,incident_2780, inappropriate behaviour ," chain snatching and commenting in the bus evening  
						  More Information »
« Less Information
",2014-04-05 23:09:00,"New Delhi, Delhi, India",Commenting,28.6139391,77.2090212
9382,9382,incident_2779, inappropriate behaviour ," Chain snatching and commenting in the evening  
						  More Information »
« Less Information
",2014-04-05 23:08:00,"Rampura, Golden Park, Tri Nagar, New Delhi, Delhi 110035, India",Commenting,28.6732479,77.1526506
9383,9383,incident_2778, taking pictures ," Everyday when I visit that place(kanhaiya nagar/tri nagar) some boys take pictures of girls.It happens in the evening  
						  More Information »
« Less Information
",2014-04-05 23:07:00,"Kanhaiya Nagar, Block F, JJ Colony Wazirpur, Ashok Vihar, New Delhi, Delhi 110034, India",Taking pictures,28.68241,77.16479919999999
9384,9384,incident_2777, taking pictures ," Everyday when I visit that place(kanhaiya nagar/tri nagar) some boys take pictures of girls.It happens in the evening  
						  More Information »
« Less Information
",2014-04-05 23:07:00,"Kanhaiya Nagar, Block F, JJ Colony Wazirpur, Ashok Vihar, New Delhi, Delhi 110034, India",Taking pictures,28.68241,77.16479919999999
9385,9385,incident_2776, inappropriate behaviour ," I feel scared at going to bhera enclave chowk alone at night.  
						  More Information »
« Less Information
",2014-04-05 23:05:00,"New Delhi, Delhi, India",Rape / Sexual Assault,28.6139391,77.2090212
9386,9386,incident_2775, chain snatching ," Two bikers snatched the chain of a lady near the Jnakpuri metro station.It happened in the morning.  
						  More Information »
« Less Information
",2014-04-05 22:30:00,"Janakpuri West, Chatrapati Shivaji Marg, Janakpuri District Center, Janakpuri, New Delhi, Delhi 110058, India",Chain Snatching / Robbery,28.6294195,77.0776578
9387,9387,incident_2774, commenting ," A guy was commenting.It happened in the evening.  
						  More Information »
« Less Information
",2014-04-05 22:29:00,"Dilshad Garden, New Delhi, Delhi, India",Commenting,28.6828082,77.3121354
9388,9388,incident_2773, indecent exposure ," A man on a bike indecently exposed in front of My girlfriend.It happened in 2011 in the morning.
I did not report to the police.I beated him.  
						  More Information »
« Less Information
",2014-04-05 22:26:00,"R K Puram Sector 4, Sector 4, RK Puram, New Delhi, Delhi 110022, India",Indecent exposure,28.55906,77.1783519
9389,9389,incident_2772, inappropriate behaviour ," It happens mostly in the buses.While coming from the college in DTC bus,one guy indecently exposed his private parts.That was really disgusting...  
						  More Information »
« Less Information
",2014-04-05 22:24:00,"New Delhi, Delhi, India",Indecent exposure,28.6139391,77.2090212
9390,9390,incident_2771, commenting ," There was a girl abused by a policeman.It happened in the night  
						  More Information »
« Less Information
",2014-04-05 22:22:00,"Anand Vihar, New Delhi, Delhi, India",Commenting,28.650218,77.30270589999999
9391,9391,incident_2770, commenting ," A group of boys was passing comments on two college going girls.It happened in the evening.  
						  More Information »
« Less Information
",2014-04-05 22:20:00,"Rithala Village, Pocket 12, Sector 5C, Rohini, New Delhi, Delhi 110085",Catcalls/Whistles,28.7191961,77.1006616
9392,9392,incident_2769, commenting ," I was going to market in the evening and then some boys standing on roadside started commenting.  
						  More Information »
« Less Information
",2014-04-05 22:14:00,"Joga Bai Extension, Okhla, New Delhi, Delhi 110025, India",Catcalls/Whistles,28.567353,77.2843333
9393,9393,incident_2768, chain snatching ," This incident took place in front of banasthali public school in the morning.
A woman was walking and a biker snatched her chain and purse.  
						  More Information »
« Less Information
",2014-04-05 22:12:00,"Vikaspuri, New Delhi, Delhi, India",Chain Snatching / Robbery,28.6386438,77.07206
9394,9394,incident_2767, chain snatching ," Chain snatched of a lady standing on the bus stand in the afternoon.  
						  More Information »
« Less Information
",2014-04-05 22:07:00,"Tagore Garden, Najafgarh Road, Block BF, Rajouri Garden Extension, Rajouri Garden, New Delhi, Delhi 110027, India",Chain Snatching / Robbery,28.6284684,77.0745822
9395,9395,incident_2766, commenting and catcalls ," Two girls were travelling in rickshaw and two boys on a bike were whistling and looking at them.It happened in the evening.  
						  More Information »
« Less Information
",2014-04-05 22:00:00,"Uttam Nagar, New Delhi, Delhi, India",Catcalls/Whistles,28.6195574,77.0549901
9396,9396,incident_2765, catcalls ," 4 boys were riding bikes and suddenly they stopped at.It happened in the afternoon.  
						  More Information »
« Less Information
",2014-04-05 13:58:00,"Dwarka, Gujarat, India",Catcalls/Whistles,22.2441975,68.96845619999999
